# Key Academic Papers on Cybersecurity Disclosure, Breaches, and Governance
# Author: Dr Yuqian Zhang, 2026-07-10
# Sources: Publisher websites; CrossRef; Google Scholar; literature review compiled July 2026
authors,year,title,journal,volume_issue,pages,doi_or_url,key_finding_summary
Kamiya et al.,2021,"Risk Management, Firm Reputation, and the Impact of Successful Cyberattacks on Target Firms",Journal of Financial Economics,139(3),719-749,https://doi.org/10.1016/j.jfineco.2019.05.019,Successful cyberattacks decrease shareholder wealth by ~1.09% (three-day window); firms increase risk management post-breach; intra-industry contagion effects
Florackis et al.,2023,"Cybersecurity Risk",Review of Financial Studies,36(1),351-407,https://doi.org/10.1093/rfs/hhac049,Text-based cybersecurity risk measure predicts cyberattacks; high-exposure firms earn 8.3% annual risk premium
Sheneman (forthcoming),,"Cybersecurity Risk and Bank Loan Contracting",The Accounting Review,,https://doi.org/10.2308/TAR-2021-0604,Breach disclosures increase loan spreads by ~30 bps on average
Chen et al.,2023,"Is Cybersecurity Risk Factor Disclosure Informative? Evidence from Disclosures Following a Data Breach",Journal of Business Ethics,187,199-224,https://doi.org/10.1007/s10551-022-05107-z,Detailed cybersecurity risk factor disclosures reduce information asymmetry
Amir et al.,2018,"Do Firms Underreport Information on Cyber-Attacks? Evidence from Capital Markets",Review of Accounting Studies,23(3),1177-1206,https://doi.org/10.1007/s11142-018-9452-4,Evidence that firms underreport cyber incidents prior to mandatory disclosure regimes
Gao et al.,2020,"Public Companies' Cybersecurity Risk Disclosures",International Journal of Accounting Information Systems,38,100468,https://doi.org/10.1016/j.accinf.2020.100468,Disclosure length increases linearly with time; larger firms provide more extensive cybersecurity risk disclosures
Wang et al.,2023,"Cybersecurity Risk and the Cost of Equity Capital",Journal of Accounting and Public Policy,42(4),107126,https://doi.org/10.1016/j.jaccpubpol.2023.107126,Higher cybersecurity risk associated with higher cost of equity; moderated by board oversight quality
Huang and Wang,2021,"Do Banks Price Firms' Data Breaches?",The Accounting Review,96(3),261-286,https://doi.org/10.2308/TAR-2018-0643,Banks price data breach risk; passage of DBN laws increased breach-related costs for lenders
Havakhor et al.,2020,"Disclosure of Cybersecurity Investments and the Cost of Capital",Working paper (WEIS),,https://ssrn.com/abstract=3553470,Digital cybersecurity investments show stronger negative association with cost of equity than cost of debt
Juma'h and Alnsour,2020,"The Effect of Data Breaches on Company Performance",International Journal of Accounting and Information Management,28(2),275-301,https://doi.org/10.1108/IJAIM-01-2019-0006,Data breaches reduce ROA; no significant stock market reaction at quarterly level
Li et al.,2022,"Cybersecurity Risk and Audit Pricing",Auditing: A Journal of Practice and Theory,41(4),115-143,https://doi.org/10.2308/AJPT-2020-090,Higher cybersecurity risk linked to higher audit fees and longer audit delays
Eaton et al.,2019,"The Impact of Data Breach Announcements on Shareholder Wealth in the Banking Industry",Journal of the Association for Information Systems,20(10),1471-1507,https://doi.org/10.17705/1jais.00568,Data breach announcements produce cumulative abnormal returns of -2% to -5%
Elnahass et al.,2024,"Empowering Women to Lead Cybersecurity: The Effect of Female Executives on Disclosure Sentiment",International Journal of Finance and Economics,forthcoming,https://doi.org/10.1002/ijfe.3067,Gender-diverse boards foster stronger cybersecurity disclosure practices
