# nlp_citation_analysis.csv
# Top cited textual analysis / NLP papers in accounting and finance
# Citation counts from Google Scholar as of mid-2025
# Verified journal details: volume, issue, pages, year, DOI
rank,first_author,short_title,journal,volume,issue,pages,year,citations,doi_url
1,Loughran,"When Is a Liability Not a Liability?","Journal of Finance",66,1,"35-65",2011,5760,https://doi.org/10.1111/j.1540-6261.2010.01625.x
2,Tetlock,"Giving Content to Investor Sentiment","Journal of Finance",62,3,"1139-1168",2007,4210,https://doi.org/10.1111/j.1540-6261.2007.01232.x
3,Li,"Annual Report Readability, Current Earnings, and Earnings Persistence","Journal of Accounting and Economics",45,"2-3","221-247",2008,3710,https://doi.org/10.1016/j.jacceco.2008.02.003
4,Loughran,"Textual Analysis in Accounting and Finance: A Survey","Journal of Accounting Research",54,4,"1187-1230",2016,2580,https://doi.org/10.1111/1475-679X.12123
5,Hoberg,"Text-Based Network Industries and Endogenous Product Differentiation","Journal of Political Economy",124,5,"1423-1465",2016,2050,https://doi.org/10.1086/688176
6,Li,"The Information Content of Forward-Looking Statements","Journal of Accounting Research",48,5,"1049-1102",2010,1890,https://doi.org/10.1111/j.1475-679X.2010.00382.x
7,Gentzkow,"Text as Data","Journal of Economic Literature",57,3,"535-574",2019,1820,https://doi.org/10.1257/jel.20181020
8,Hoberg,"Product Market Synergies and Competition in Mergers and Acquisitions","Review of Financial Studies",23,10,"3773-3811",2010,1410,https://doi.org/10.1093/rfs/hhq053
9,Loughran,"Measuring Readability in Financial Disclosures","Journal of Finance",69,4,"1643-1671",2014,1280,https://doi.org/10.1111/jofi.12162
10,Larcker,"Detecting Deceptive Discussions in Conference Calls","Journal of Accounting Research",50,2,"495-540",2012,1160,https://doi.org/10.1111/j.1475-679X.2012.00450.x
11,Jiang,"Manager Sentiment and Stock Returns","Journal of Financial Economics",132,1,"126-149",2019,1050,https://doi.org/10.1016/j.jfineco.2018.10.001
12,Campbell,"The Information Content of Mandatory Risk Factor Disclosures","Review of Accounting Studies",19,1,"396-455",2014,920,https://doi.org/10.1007/s11142-013-9258-3
13,Brown,"Large-Sample Evidence on Firms' Year-Over-Year MD&A Modifications","Journal of Accounting Research",49,2,"309-346",2011,830,https://doi.org/10.1111/j.1475-679X.2010.00396.x
14,Price,"Earnings Conference Calls and Stock Returns","Journal of Banking and Finance",36,4,"992-1011",2012,760,https://doi.org/10.1016/j.jbankfin.2011.11.013
15,Huang,"FinBERT: A Large Language Model for Extracting Information from Financial Text","Contemporary Accounting Research",40,2,"806-841",2023,720,https://doi.org/10.1111/1911-3846.12832
16,Bochkay,"Textual Analysis in Accounting: What's Next?","Contemporary Accounting Research",40,2,"765-805",2023,450,https://doi.org/10.1111/1911-3846.12825
