# NZ annual overseas visitor arrivals (calendar years),# Source: Stats NZ International Travel
year,visitor_arrivals,peak_month,peak_arrivals,notes
2017,3733707,2017-12,513349,
2018,3863217,2018-12,529255,
2019,3888473,2019-12,528219,
2020,996350,2020-01,410778,COVID border closure from March 2020
2021,206862,2021-05,57605,Travel bubble with Australia Apr-Jul; Auckland lockdown Aug-Sep
2022,1433832,2022-12,364716,Border fully reopened March 2022
2023,2955074,2023-12,418869,
2024,3313802,2024-12,469842,
2025,3509432,2025-12,502640,
2026,1441025 (Jan-Apr only),,,Partial year
