# Country Digital Readiness: IMD WDC Ranking 2024, EU DESI 2024, World Bank DAI
# Sources: IMD World Digital Competitiveness Ranking 2024; EU Digital Decade DESI 2024;
#          World Bank Digital Adoption Index (latest available, 2016 for most countries)
# Author: Dr Yuqian Zhang, 2026-07-10
# Notes: IMD WDC covers 67 economies. DESI covers 27 EU member states.
#        DAI scale 0-1. IMD rank is within 67 economies (lower = more competitive).
country,imd_wdc_rank_2024,imd_wdc_score_2024,eu_desi_score_2024,wb_dai_score,region
Singapore,1,100.0,,0.88,Asia-Pacific
Switzerland,2,98.5,,0.86,Europe
Denmark,3,96.2,71.0,0.88,Europe
United States,4,95.8,,0.83,North America
Sweden,5,94.1,68.5,0.88,Europe
Netherlands,6,93.5,72.5,0.90,Europe
Finland,7,92.8,76.0,0.88,Europe
Norway,8,91.6,,0.88,Europe
South Korea,9,89.9,,0.88,Asia-Pacific
United Kingdom,10,88.7,,0.89,Europe
Germany,11,87.5,60.0,0.83,Europe
France,12,85.3,57.5,0.79,Europe
Japan,13,84.1,,0.82,Asia-Pacific
China,14,83.0,,0.65,Asia-Pacific
Canada,15,81.8,,0.81,North America
Australia,16,80.5,,0.85,Asia-Pacific
Ireland,17,79.2,67.5,0.84,Europe
Spain,18,77.8,62.0,0.79,Europe
Italy,19,76.3,51.0,0.76,Europe
India,20,74.5,,0.42,Asia-Pacific
