# Academic Literature on Blockchain and Cryptocurrency in Top Journals
# Author: Dr Yuqian Zhang, 10 July 2026
# Sources: Publisher websites; CrossRef; Google Scholar; literature review compiled July 2026
# Journal ratings: ABS 4*/4 and ABDC A/A*
authors,year,title,journal,volume_issue,pages,doi_or_url,key_finding_summary
Nakamoto S,2008,Bitcoin: A Peer-to-Peer Electronic Cash System,White paper,N/A,N/A,https://bitcoin.org/bitcoin.pdf,Foundational white paper proposing peer-to-peer electronic cash using cryptographic proof; introduced blockchain and proof-of-work
Yermack D,2015,Is Bitcoin a Real Currency? An Economic Appraisal,Handbook of Digital Currency (Elsevier),N/A,31-43,https://doi.org/10.1016/B978-0-12-802117-0.00002-3,Bitcoin largely fails criteria of bona fide currency: poor medium of exchange; store of value; unit of account due to extreme volatility
Easley D; O'Hara M; Basu S,2019,From mining to markets: The evolution of bitcoin transaction fees,Journal of Financial Economics,134(1),91-109,https://doi.org/10.1016/j.jfineco.2019.03.004,Game-theoretic model of Bitcoin fee market; mining rewards and waiting time shape miner and user strategic behaviour
Cong LW; He Z,2019,Blockchain Disruption and Smart Contracts,Review of Financial Studies,32(5),1754-1797,https://doi.org/10.1093/rfs/hhz007,Analyses how blockchain decentralisation and smart contracts reshape competition; can mitigate information asymmetry but may encourage collusion
Foley S; Karlsen JR; Putnins TJ,2019,Sex Drugs and Bitcoin: How Much Illegal Activity Is Financed through Cryptocurrencies?,Review of Financial Studies,32(5),1798-1853,https://doi.org/10.1093/rfs/hhz015,~25% of bitcoin users and ~50% of bitcoin transactions associated with illegal activity; ~$76B illegal activity annually
Griffin JM; Shams A,2020,Is Bitcoin Really Untethered?,Journal of Finance,75(4),1913-1964,https://doi.org/10.1111/jofi.12903,Tether purchases timed following market downturns; patterns most consistent with unbacked digital money inflating Bitcoin prices
Makarov I; Schoar A,2020,Trading and arbitrage in cryptocurrency markets,Journal of Financial Economics,135(2),293-319,https://doi.org/10.1016/j.jfineco.2019.07.001,Large recurrent arbitrage opportunities across exchanges; common component in exchange-level order flow explains 80% of Bitcoin returns
Howell ST; Niessner M; Yermack D,2020,Initial Coin Offerings: Financing Growth with Cryptocurrency Token Sales,Review of Financial Studies,33(9),3925-3974,https://doi.org/10.1093/rfs/hhz131,>1500 ICOs raising $12.9B; success associated with disclosure; credible commitment; and quality signals
Liu Y; Tsyvinski A,2021,Risks and Returns of Cryptocurrency,Review of Financial Studies,34(6),2689-2727,https://doi.org/10.1093/rfs/hhaa113,Cryptocurrency returns predicted by momentum and investor attention factors; markets have become more predictable over time
Cong LW; Li Y; Wang N,2021,Tokenomics: Dynamic Adoption and Valuation,Review of Financial Studies,34(3),1105-1155,https://doi.org/10.1093/rfs/hhaa089,Dynamic asset-pricing model of tokens; tokens accelerate platform adoption; feedback between adoption and valuation drives volatility
Saleh F,2021,Blockchain without Waste: Proof-of-Stake,Review of Financial Studies,34(3),1156-1190,https://doi.org/10.1093/rfs/hhaa075,First formal economic model of Proof-of-Stake; modest reward schedule ensures equilibrium with immediate consensus and no persistent forking
Chod J; Lyandres E,2021,A Theory of ICOs: Diversification Agency and Information Asymmetry,Management Science,67(10),5969-5989,https://doi.org/10.1287/mnsc.2020.3754,Token financing preferred to equity when agency conflicts are large and information asymmetry is high
Gryglewicz S; Mayer S; Morellec E,2021,Optimal financing with tokens,Journal of Financial Economics,142(3),1038-1067,https://doi.org/10.1016/j.jfineco.2021.05.004,Token financing generally preferred to equity for digital platforms unless strong cash flows expected
Liu Y; Tsyvinski A; Wu X,2022,Common Risk Factors in Cryptocurrency,Journal of Finance,77(2),1133-1177,https://doi.org/10.1111/jofi.13119,Three common risk factors for cryptocurrency returns: crypto market; size; and momentum capture cross-section of expected returns
Pagnotta ES,2022,Decentralizing Money: Bitcoin Prices and Blockchain Security,Review of Financial Studies,35(2),866-907,https://doi.org/10.1093/rfs/hhaa149,Bitcoin's design leads to multiple equilibria; price-security feedback amplifies fundamental shocks leading to booms and busts
Bourveau T; De George ET; Ellahie A; Macciocchi D,2022,The Role of Disclosure and Information Intermediaries in an Unregulated Capital Market: Evidence from Initial Coin Offerings,Journal of Accounting Research,60(1),129-167,https://doi.org/10.1111/1475-679X.12404,Voluntary disclosure and information intermediaries (ratings; analysts) facilitate ICO market functioning; positively associated with ICO success
Hinzen FJ; John K; Saleh F,2022,Bitcoin's limited adoption problem,Journal of Financial Economics,144(2),347-369,https://doi.org/10.1016/j.jfineco.2022.01.003,Bitcoin's limited adoption arises as equilibrium from negative network effects: as network expands delay grows and users abandon
Biais B; Bisiere C; Bouvard M; Casamatta C; Menkveld AJ,2023,Equilibrium Bitcoin Pricing,Journal of Finance,78(2),967-1014,https://doi.org/10.1111/jofi.13206,General equilibrium analysis; fundamental value depends on net transactional benefits; sunspots create multiple equilibria and extrinsic volatility
Cong LW; Li X; Tang K; Yang Y,2023,Crypto Wash Trading,Management Science,69(11),6427-6454,https://doi.org/10.1287/mnsc.2021.02709,Unregulated exchanges display wash trading averaging >70% of reported volume; fabricated volumes temporarily distort prices
Sockin M; Xiong W,2023,A Model of Cryptocurrencies,Management Science,69(11),6684-6707,https://doi.org/10.1287/mnsc.2023.4756,Models cryptocurrencies as utility tokens for decentralised digital platforms; network effect and token non-neutrality generate adoption-price feedback
Capponi A; Olafsson S; Alsabah H,2023,Proof-of-Work Cryptocurrencies: Does Mining Technology Undermine Decentralization?,Management Science,69(11),6455-6481,https://doi.org/10.1287/mnsc.2023.4840,Mining hardware efficiency investment can lead to centralisation; technological arms races undermine PoW decentralisation goal
Augustin P; Rubtsov A; Shin D,2023,The Impact of Derivatives on Spot Markets: Evidence from the Introduction of Bitcoin Futures Contracts,Management Science,69(11),6752-6776,https://doi.org/10.1287/mnsc.2023.4900,Bitcoin futures listing reduces spot price volatility; increases liquidity and informational efficiency
Chiu J; Davoodalhosseini SM,2023,Central Bank Digital Currency and Banking: Macroeconomic Benefits of a Cash-Like Design,Management Science,69(11),6708-6730,https://doi.org/10.1287/mnsc.2021.02763,Cash-like CBDC design provides macroeconomic benefits with limited disruption to bank intermediation
Park A,2023,The Conceptual Flaws of Decentralized Automated Market Making,Management Science,69(11),6731-6751,https://doi.org/10.1287/mnsc.2021.02802,Critical examination of AMMs in DeFi; identifies arbitrage losses for liquidity providers and vulnerability to sandwich attacks
Davydiuk T; Gupta D; Rosen S,2023,De-Crypto-ing Signals in Initial Coin Offerings: Evidence of Rational Token Retention,Management Science,69(11),6584-6624,https://doi.org/10.1287/mnsc.2022.4631,Entrepreneurs use token retention to signal quality; token retention positively associated with ICO success
Malinova K; Park A,2023,Tokenomics: When Tokens Beat Equity,Management Science,69(11),6568-6583,https://doi.org/10.1287/mnsc.2023.4882,Tokens dominate equity as financing when they better coordinate investor expectations and platform participation
Luo M; Yu S,2024,Financial Reporting for Cryptocurrency,Review of Accounting Studies,29(2),1707-1740,https://doi.org/10.1007/s11142-022-09741-w,Compares US GAAP and IFRS reporting for cryptocurrency; documents significant inconsistencies in measurement; classification; and cash flow reporting across 40 global firms
Bourveau T; Brendel J; Schoenfeld J,2024,Decentralized Finance (DeFi) Assurance: Early Evidence,Review of Accounting Studies,29(3),2209-2253,https://doi.org/10.1007/s11142-024-09834-8,First evidence on smart contract audit reports in DeFi; ~8500 audit reports analysed; market reacts positively to audit report releases
Anderson CM; Fang VW; Moon J; Shipman JE,2026,Accounting for Cryptocurrencies,Journal of Accounting Research,64(1),forthcoming,https://doi.org/10.1111/1475-679X.70018,Explores US public firms' cryptocurrency holdings and accounting practices (2013-2022); finds firms view crypto assets akin to investments rather than intangible assets
