# nlp_journal_distribution.csv
# Distribution of textual analysis / NLP papers across top journals
# Counts are cumulative through 2025 (approximate, based on WoS and manual counts)
# Sources: Bochkay et al. (2023) Table 1, Web of Science keyword search, Google Scholar
journal,abbreviation,paper_count,percent
"Journal of Accounting Research",JAR,52,14.5
"Journal of Accounting and Economics",JAE,38,10.6
"The Accounting Review",TAR,45,12.5
"Contemporary Accounting Research",CAR,48,13.4
"Review of Accounting Studies",RAST,35,9.7
"Journal of Finance",JF,25,7.0
"Journal of Financial Economics",JFE,30,8.4
"Review of Financial Studies",RFS,28,7.8
"Management Science",MS,22,6.1
"Journal of Political Economy",JPE,5,1.4
"Other top journals","Other",31,8.6
