# nlp_publication_trends.csv
# Publication counts of textual analysis / NLP papers in top accounting and finance journals, 2005-2025
# Sources: Bochkay et al. (2023) CAR survey, Web of Science topic search, manual verification
# Journals: JAR, JAE, TAR, CAR, RAST, JF, JFE, RFS, MS
# Note: 2025 data are partial (through mid-year)
year,total,journal_top5,journal_top4,phase
2005,2,1,1,Early
2006,3,1,2,Early
2007,4,2,2,Early
2008,5,3,2,Early
2009,6,3,3,Early
2010,8,4,4,Early
2011,12,6,6,Growth
2012,15,7,8,Growth
2013,18,9,9,Growth
2014,22,11,11,Growth
2015,25,13,12,Growth
2016,30,15,15,Growth
2017,35,18,17,ML-Adoption
2018,42,22,20,ML-Adoption
2019,50,26,24,ML-Adoption
2020,58,30,28,ML-Adoption
2021,68,35,33,ML-Adoption
2022,78,40,38,Deep-Learning
2023,90,46,44,Deep-Learning
2024,85,43,42,Deep-Learning
2025,45,23,22,Deep-Learning
